2019-01-10 05:26:31 -0500 Kernel Client Acks  	Delays to Wake notifications: [AirPort_BrcmNIC driver is slow(msg: SetState to 2)(322 ms)] [UPSB driver is slow(msg: SetState to 2)(545 ms)] [UPSB driver is slow(msg: SetState to 2)(545 ms)] [IGPU driver is slow(msg: SetState to 2)(555 ms)] [HDEF driver is slow(msg: SetState to 2)(553 ms)] [GFX0 driver is slow(msg: SetState to 2)(545 ms)] [HDAU driver is slow(msg: SetState to 2)(551 ms)] [AMDFramebufferVIB driver is slow(msg: SetState to 1)(349 ms)]           
2019-01-10 05:27:24 -0500 Wake Requests       	[proc=dasd request=SleepService inDelta=14561 info="com.apple.dasd:0:com.apple.apsd.apprefresh"] [proc=dasd request=TimerPlugin inDelta=14252 info="com.apple.dasd:501:com.apple.tourist.notify"] [*proc=mDNSResponder request=Maintenance inDelta=7200]           
2019-01-10 06:38:08 -0500 Assertions          	PID 173(mDNSResponder) Created MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd000090aa [System: PrevIdle SRPrevSleep kCPU]          
2019-01-10 06:38:08 -0500 Assertions          	PID 173(mDNSResponder) Released MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd000090aa [System: PrevIdle]          
2019-01-10 06:38:09 -0500 DarkWake            	DarkWake from Normal Sleep [CDN] due to EC.DarkPME EC.ACDetach/Maintenance: Using BATT (Charge:100%) 13 secs   
2019-01-10 06:38:09 -0500 Kernel Client Acks  	Delays to Wake notifications: [AirPort_BrcmNIC driver is slow(msg: SetState to 2)(310 ms)] [UPSB driver is slow(msg: SetState to 2)(537 ms)] [UPSB driver is slow(msg: SetState to 2)(539 ms)] [IGPU driver is slow(msg: SetState to 2)(553 ms)] [HDEF driver is slow(msg: SetState to 2)(553 ms)] [GFX0 driver is slow(msg: SetState to 2)(552 ms)] [HDAU driver is slow(msg: SetState to 2)(552 ms)] [AMDFramebufferVIB driver is slow(msg: SetState to 1)(351 ms)]           
2019-01-10 06:38:27 -0500 Wake Requests       	[*proc=mDNSResponder request=Maintenance inDelta=7200] [proc=powerd request=TCPKATurnOff inDelta=43240]           
2019-01-10 07:55:30 -0500 Assertions          	PID 173(mDNSResponder) Created MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd000090d7 [System: PrevIdle]          
2019-01-10 07:55:30 -0500 Assertions          	PID 173(mDNSResponder) Released MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd000090d7 [System: PrevIdle]          
2019-01-10 07:55:31 -0500 Wake                	Wake from Normal Sleep [CDNVA] due to EC.LidOpen/UserActivity Assertion: Using BATT (Charge:100%)           
2019-01-10 07:55:31 -0500 Kernel Client Acks  	Delays to Wake notifications: [AirPort_BrcmNIC driver is slow(msg: SetState to 2)(354 ms)] [UPSB driver is slow(msg: SetState to 2)(537 ms)] [UPSB driver is slow(msg: SetState to 2)(539 ms)] [IGPU driver is slow(msg: SetState to 2)(552 ms)] [HDEF driver is slow(msg: SetState to 2)(551 ms)] [GFX0 driver is slow(msg: SetState to 2)(550 ms)] [HDAU driver is slow(msg: SetState to 2)(550 ms)] [AppleHDADriver driver is slow(msg: SetState to 1)(455 ms)] [AMDFramebufferVIB driver is slow(msg: SetState to 2)(591 ms)]           
2019-01-10 07:57:42 -0500 Assertions          	PID 9019(PowerChime) Created DisplayWake "com.apple.chimeOnAttach" 00:00:00  id:0x0xe0000914e [System: PrevIdle DeclUser DispWake kDisp]          
2019-01-10 07:57:43 -0500 Assertions          	PID 9019(PowerChime) Released DisplayWake "com.apple.chimeOnAttach" 00:00:01  id:0x0xe0000914e [System: PrevIdle DeclUser kDisp]          
